Flat_type,Storey_range,Floor_area_sqm,Remaining_months,Resale_price
4 ROOM,04 TO 06,105,786,550000
4 ROOM,10 TO 12,84,783,525000
4 ROOM,07 TO 09,105,784,620000
4 ROOM,10 TO 12,84,810,572000
4 ROOM,07 TO 09,104,863,556000
4 ROOM,40 TO 42,95,1091,900000
4 ROOM,10 TO 12,103,834,573000
4 ROOM,10 TO 12,89,791,508000
4 ROOM,04 TO 06,103,830,500000
4 ROOM,07 TO 09,105,830,560000
5 ROOM,04 TO 06,121,801,650000
5 ROOM,19 TO 21,121,807,738000
5 ROOM,16 TO 18,121,814,735000
5 ROOM,01 TO 03,121,805,638000
5 ROOM,16 TO 18,121,796,850000
5 ROOM,07 TO 09,132,860,788000
5 ROOM,07 TO 09,132,860,770000
5 ROOM,04 TO 06,134,863,665000
5 ROOM,07 TO 09,121,863,850000
5 ROOM,04 TO 06,121,772,690000
5 ROOM,10 TO 12,121,774,728000
5 ROOM,04 TO 06,120,790,630000
5 ROOM,22 TO 24,120,790,700000
5 ROOM,16 TO 18,120,784,680000
5 ROOM,01 TO 03,122,831,600000
5 ROOM,13 TO 15,120,789,657700
5 ROOM,10 TO 12,136,637,473000
EXECUTIVE,07 TO 09,143,794,840000
EXECUTIVE,01 TO 03,146,797,838888
EXECUTIVE,10 TO 12,151,862,830000
EXECUTIVE,01 TO 03,148,859,800000
EXECUTIVE,07 TO 09,158,778,1040000
3 ROOM,07 TO 09,67,774,405000
3 ROOM,07 TO 09,67,769,385000
3 ROOM,10 TO 12,64,790,390000
4 ROOM,10 TO 12,84,805,448000
4 ROOM,10 TO 12,105,784,580000
4 ROOM,01 TO 03,104,784,572000
4 ROOM,07 TO 09,84,781,500000
4 ROOM,01 TO 03,104,811,480000
4 ROOM,01 TO 03,104,776,460000
4 ROOM,04 TO 06,83,807,458000
4 ROOM,01 TO 03,84,807,395000
4 ROOM,07 TO 09,112,862,606888
4 ROOM,19 TO 21,103,862,640000
4 ROOM,01 TO 03,115,862,548000
4 ROOM,07 TO 09,106,862,528000
4 ROOM,07 TO 09,105,862,580000
4 ROOM,04 TO 06,105,862,562000
4 ROOM,07 TO 09,104,861,568000
4 ROOM,16 TO 18,103,862,602000
4 ROOM,01 TO 03,108,860,520000
4 ROOM,01 TO 03,109,859,566000
4 ROOM,01 TO 03,116,859,560000
4 ROOM,07 TO 09,104,859,570000
4 ROOM,01 TO 03,104,862,480000
4 ROOM,04 TO 06,95,774,535888
4 ROOM,04 TO 06,95,776,514000
4 ROOM,10 TO 12,89,790,530000
4 ROOM,04 TO 06,88,645,328000
